Name,Sex,Age,Height,Team,NOC,Games,Year,Season,City,Sport,Medal,Event
KORREL Michael,M,27.0,,Netherlands,NED,Tokyo 2020,2020,Summer,Tokyo,Judo,,
KORSTANJE Nyls,M,22.0,,Netherlands,NED,Tokyo 2020,2020,Summer,Tokyo,Swimming,,
KORTE Annimari,F,33.0,,Finland,FIN,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
KORZENIOWSKI Pawel,M,36.0,,Poland,POL,Tokyo 2020,2020,Summer,Tokyo,Swimming,,
KOS Hubert,M,18.0,,Hungary,HUN,Tokyo 2020,2020,Summer,Tokyo,Swimming,,
KOSETSKAYA Evgeniya,F,27.0,,ROC,ROC,Tokyo 2020,2020,Summer,Tokyo,Badminton,,
KOSONEN Silja,F,19.0,,Finland,FIN,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
KOSTERINA Tatyana,F,44.0,,ROC,ROC,Tokyo 2020,2020,Summer,Tokyo,Equestrian,,
KOSZEWSKA Karolina,F,39.0,,Poland,POL,Tokyo 2020,2020,Summer,Tokyo,Boxing,,
KOTSOIEV Zelym,M,23.0,,Azerbaijan,AZE,Tokyo 2020,2020,Summer,Tokyo,Judo,,
KOU Lei,M,34.0,,Ukraine,UKR,Tokyo 2020,2020,Summer,Tokyo,Table Tennis,,
KOUAME Christian,M,24.0,188.0,Côte d'Ivoire,CIV,Tokyo 2020,2020,Summer,Tokyo,Football,,
KOUAO Koffi,M,23.0,173.0,Côte d'Ivoire,CIV,Tokyo 2020,2020,Summer,Tokyo,Football,,
KOUASSI Eboue,M,24.0,185.0,Côte d'Ivoire,CIV,Tokyo 2020,2020,Summer,Tokyo,Football,,
KOUDINOV Mikhail,M,30.0,160.0,New Zealand,NZL,Tokyo 2020,2020,Summer,Tokyo,Artistic Gymnastics,,
KOUMA Sebastien,M,24.0,,Mali,MLI,Tokyo 2020,2020,Summer,Tokyo,Swimming,,
KOUMI EL NOUR Sadam Suliman,M,27.0,,Sudan,SUD,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
KOUNTA Muhammad,M,27.0,,France,FRA,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
KOUTSOYANOPULOS Giulia,F,19.0,172.0,Italy,ITA,Tokyo 2020,2020,Summer,Tokyo,Baseball/Softball,,
KOVACOCY Marian,M,37.0,,Slovakia,SVK,Tokyo 2020,2020,Summer,Tokyo,Shooting,,
KOVACS Barbara,F,28.0,,Hungary,HUN,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
KOVACS Benedek,M,23.0,,Hungary,HUN,Tokyo 2020,2020,Summer,Tokyo,Swimming,,
KOVACS Zsofia,F,21.0,157.0,Hungary,HUN,Tokyo 2020,2020,Summer,Tokyo,Artistic Gymnastics,,
KOVACS Zsofia,F,33.0,,Hungary,HUN,Tokyo 2020,2020,Summer,Tokyo,Triathlon,,
KOVACSICS Aniko,F,30.0,170.0,Hungary,HUN,Tokyo 2020,2020,Summer,Tokyo,Handball,,
KOVALOV Stanislav,M,30.0,,Ukraine,UKR,Tokyo 2020,2020,Summer,Tokyo,Rowing,,
KOVAR Jiri,M,32.0,202.0,Italy,ITA,Tokyo 2020,2020,Summer,Tokyo,Volleyball,,
KOVTUN Illia,M,18.0,,Ukraine,UKR,Tokyo 2020,2020,Summer,Tokyo,Artistic Gymnastics,,
KOWALCZUK Aleksandra,F,25.0,,Poland,POL,Tokyo 2020,2020,Summer,Tokyo,Taekwondo,,
KOWALCZYK Julia,F,24.0,,Poland,POL,Tokyo 2020,2020,Summer,Tokyo,Judo,,
KOWALSKI Jerzy,M,33.0,183.0,Poland,POL,Tokyo 2020,2020,Summer,Tokyo,Rowing,,
KOWPLOS Katarina Rose,F,20.0,150.0,Australia,AUS,Tokyo 2020,2020,Summer,Tokyo,Shooting,,
KOZAK Luca,F,25.0,,Hungary,HUN,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
KOZAKIEWICZ Jan,M,25.0,,Poland,POL,Tokyo 2020,2020,Summer,Tokyo,Swimming,,
KOZMA Dominik,M,30.0,,Hungary,HUN,Tokyo 2020,2020,Summer,Tokyo,Swimming,,
KOZOROG Alja,F,25.0,,Slovenia,SLO,Tokyo 2020,2020,Summer,Tokyo,Canoe Slalom,,
